gold_emotion,pred_emotion,n,Attention_mean,Attention_std,Certainty_mean,Certainty_std,Effort_mean,Effort_std,Pleasant_mean,Pleasant_std,Responsibility_mean,Responsibility_std,Control_mean,Control_std,Circumstance_mean,Circumstance_std
Anger,Disgust,5,0.2,1.1662,-0.8,0.4,0.4,0.8,0.0,0.0,0.2,0.4,0.0,0.0,0.2,0.9798
Anger,Fear,30,-0.4,0.8,-0.4333,1.4533,0.3333,0.9068,0.0,0.0,0.4,1.052,0.1,0.7,0.5333,1.5434
Anger,Guilt,16,-0.875,0.5995,-0.375,0.696,0.5625,1.0588,0.0,0.0,1.1875,1.1842,-0.25,0.75,0.1875,0.5266
Anger,Sadness,62,-0.8387,0.9192,-0.5806,0.9427,0.2258,1.2626,-0.0161,0.2194,0.4355,0.6868,0.1129,0.5419,0.9194,1.2221
Anger,Shame,1,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Anger,Surprise,1,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Disgust,Anger,16,-0.0625,1.1439,-0.875,0.5995,0.625,0.7806,0.0,0.0,0.375,0.7806,0.1875,0.6343,0.0625,0.8992
Disgust,Fear,31,0.871,0.8325,-0.9032,1.1738,0.5161,0.7565,0.0,0.0,0.3548,0.7849,-0.129,0.751,0.4194,1.792
Disgust,Guilt,13,-0.0769,0.9166,-0.4615,0.9295,0.1538,0.8635,0.0,0.0,0.6154,1.003,-0.6154,1.1461,0.2308,0.8904
Disgust,Joy,2,-2.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0
Disgust,Sadness,46,0.1957,0.8753,-0.8696,0.9233,0.3913,0.8203,-0.0217,0.1458,0.1739,0.6009,-0.2174,0.6225,0.2826,1.2452
Disgust,Shame,5,0.6,0.8,-0.4,0.8,0.0,0.6325,0.0,0.0,1.0,0.6325,0.0,0.6325,-0.2,1.3266
Fear,Guilt,4,0.0,0.7071,1.25,0.433,-0.5,0.866,0.0,0.0,-0.75,0.433,-1.0,0.0,-0.5,0.866
Fear,Joy,2,0.0,1.0,0.5,0.5,1.0,0.0,0.5,0.5,-1.0,0.0,0.5,0.5,-1.5,0.5
Fear,Sadness,3,-1.3333,0.4714,0.6667,1.8856,0.3333,0.4714,-0.3333,0.4714,0.3333,0.4714,-0.3333,0.4714,-0.6667,1.8856
Fear,Shame,1,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.0
Guilt,Disgust,1,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0
Guilt,Fear,5,0.6,1.3565,-0.6,1.0198,1.0,0.6325,0.2,0.4,-0.4,1.0198,-1.0,1.0954,-0.4,0.8
Guilt,Joy,5,0.0,0.6325,-0.2,0.4,0.8,0.7483,1.8,0.4,-0.4,0.4899,0.6,0.8,0.8,1.1662
Guilt,Sadness,24,-0.625,1.0729,-0.3333,0.6236,0.2083,1.2576,0.0,0.0,-0.5,1.0408,-1.125,1.1659,0.125,1.3327
Guilt,Shame,5,0.0,0.6325,-0.8,0.7483,1.0,0.6325,-0.2,0.4,-0.4,1.0198,-1.4,1.0198,0.0,0.6325
Guilt,Surprise,1,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
Joy,Fear,1,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
Joy,Sadness,5,-1.2,0.9798,-1.2,0.4,1.8,1.1662,-1.8,0.9798,-0.2,0.7483,-0.2,0.4,-0.2,0.7483
Sadness,Anger,1,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0
Sadness,Disgust,1,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
Sadness,Fear,16,-0.5,1.0607,-0.1875,0.9499,0.375,0.696,0.0,0.0,0.5,0.9354,0.0,0.0,0.5,1.118
Sadness,Guilt,12,-0.25,1.0897,-0.8333,1.0672,-0.4167,1.1873,0.0,0.0,1.8333,0.5528,0.0,0.4082,-0.5833,1.3819
Sadness,Joy,3,-1.0,0.8165,0.0,0.8165,-1.0,0.0,2.6667,0.4714,0.3333,1.2472,1.0,0.8165,-2.3333,0.4714
Shame,Anger,3,0.3333,0.4714,-0.3333,0.4714,0.6667,0.9428,0.0,0.0,0.3333,1.2472,-0.6667,0.4714,0.0,0.0
Shame,Disgust,2,-1.0,1.0,-0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Shame,Fear,18,-0.2222,1.083,0.0556,1.129,0.5556,0.8315,-0.0556,0.2291,-0.1111,0.9938,-0.7222,1.1453,0.0,1.3744
Shame,Guilt,74,0.4324,0.9165,-0.1081,0.8787,0.4865,0.9479,0.027,0.2309,-0.1351,0.7412,-1.1757,1.1896,0.0405,0.7788
Shame,Sadness,29,0.5517,0.7695,-0.5172,0.8146,0.4828,0.8952,-0.0345,0.1825,-0.3793,1.031,-0.6552,0.8418,0.4483,1.1322
