Source,Emotion,Unpleasant,Resp./Self,Uncertainty,Attention,Effort,Circumstance
Theory,Happiness,-1.460000,0.090000,-0.460000,0.150000,-0.330000,-0.210000
Theory,Sadness,0.870000,-0.360000,0.000000,-0.210000,-0.140000,1.150000
Theory,Anger,0.850000,-0.940000,-0.290000,0.120000,0.530000,-0.960000
Theory,Fear,0.440000,-0.170000,0.730000,0.030000,0.630000,0.590000
Theory,Disgust,0.380000,-0.500000,-0.390000,-0.960000,0.060000,-0.190000
Theory,Shame,0.730000,1.310000,0.210000,-0.110000,0.070000,-0.070000
Theory,Guilt,0.600000,1.310000,-0.150000,-0.360000,0.000000,-0.290000
Empirical,Happiness,-2.448866,0.098193,-0.944152,1.411135,-1.701381,-0.375950
Empirical,Sadness,0.416986,-1.036503,-0.200342,0.411740,0.790527,1.994426
Empirical,Anger,0.438007,-0.983727,-0.463774,0.630358,0.278796,-1.085860
Empirical,Fear,0.360931,-0.280039,1.558459,0.838565,1.724992,0.887448
Empirical,Disgust,0.416986,-0.737436,-0.866671,-0.868734,-0.321932,-0.448144
Empirical,Shame,0.419989,1.416351,1.519719,-1.366944,-0.271077,-0.138741
Empirical,Guilt,0.395966,1.523161,-0.603239,-1.056120,-0.499925,-0.833180
Empirical-Theory,Happiness,-0.988866,0.008193,-0.484152,1.261135,-1.371381,-0.165950
Empirical-Theory,Sadness,-0.453014,-0.676503,-0.200342,0.621740,0.930527,0.844426
Empirical-Theory,Anger,-0.411993,-0.043727,-0.173774,0.510358,-0.251204,-0.125860
Empirical-Theory,Fear,-0.079069,-0.110039,0.828459,0.808565,1.094992,0.297448
Empirical-Theory,Disgust,0.036986,-0.237436,-0.476671,0.091266,-0.381932,-0.258144
Empirical-Theory,Shame,-0.310011,0.106351,1.309719,-1.256944,-0.341077,-0.068741
Empirical-Theory,Guilt,-0.204034,0.213161,-0.453239,-0.696120,-0.499925,-0.543180

Overall Pearson r,0.819293
Overall Pearson p,3.29143e-11
