gold_emotion,pred_emotion,n,Attention_mean,Attention_std,Certainty_mean,Certainty_std,Effort_mean,Effort_std,Pleasant_mean,Pleasant_std,Responsibility_mean,Responsibility_std,Control_mean,Control_std,Circumstance_mean,Circumstance_std
Anger,Disgust,14,-0.3571,0.7178,-0.8571,0.3499,0.6429,0.4792,0.0,0.0,0.1429,0.5151,0.0,0.0,1.2857,1.1606
Anger,Fear,45,-0.5778,0.9307,0.1778,0.9953,0.2889,1.0671,0.0,0.0,0.1556,0.7588,-0.0222,0.4467,1.3111,1.4579
Anger,Guilt,38,-1.2105,0.7312,-0.3684,0.7042,0.3684,1.1337,0.0,0.0,0.7895,1.0553,-0.1053,0.3832,0.3947,1.0647
Anger,Sadness,29,-1.1034,0.8845,-0.3793,0.715,0.6897,0.9862,-0.0345,0.3198,0.4483,0.5624,-0.069,0.2534,0.931,1.2298
Anger,Shame,1,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Disgust,Fear,27,0.4815,0.9952,-0.3704,0.7277,0.6667,0.7698,0.0,0.0,-0.1481,0.8029,-0.2593,0.9267,1.2593,1.3769
Disgust,Guilt,24,-0.4167,0.8122,-0.5417,0.5758,0.4167,0.9965,0.0,0.0,0.5833,0.862,-0.25,0.9242,0.2917,0.8888
Disgust,Joy,1,-2.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0
Disgust,Sadness,20,0.1,0.7681,-0.6,0.6633,0.7,0.781,-0.05,0.2179,0.1,0.6245,-0.15,0.5723,1.05,1.244
Disgust,Shame,2,0.5,0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,-0.5,0.5,1.0,1.0
Fear,Guilt,8,-0.375,1.111,1.25,0.6614,-0.5,0.7071,0.0,0.0,0.0,1.3229,-0.875,0.927,-0.625,0.857
Fear,Sadness,11,-1.5455,0.4979,1.7273,0.4454,-0.2727,0.6166,-0.1818,0.3857,0.0909,1.0833,-0.0909,0.668,-0.3636,1.3667
Fear,Shame,1,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.0
Guilt,Fear,1,1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-3.0,0.0,2.0,0.0
Guilt,Joy,4,0.75,0.433,-0.75,0.433,0.5,0.5,1.5,1.118,-2.75,0.433,-2.25,0.433,0.5,0.866
Guilt,Sadness,25,-0.44,1.1689,-0.52,0.5741,0.24,1.3048,0.0,0.0,-1.16,0.88,-1.56,1.2027,0.28,1.0008
Guilt,Shame,4,0.0,0.7071,-0.5,0.5,0.75,0.433,-0.25,0.433,-0.75,0.433,-1.75,0.8292,0.25,0.433
Joy,Sadness,16,-1.625,0.696,-0.5625,0.4961,1.0625,0.8268,-2.4375,0.7043,-0.3125,0.8455,-0.6875,1.1575,0.125,1.317
Sadness,Disgust,1,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0
Sadness,Fear,5,-0.2,0.7483,-0.2,1.6,0.4,1.2,0.0,0.0,0.0,0.6325,0.0,0.0,0.6,1.3565
Sadness,Guilt,14,-0.7143,1.0302,0.0714,0.7035,-0.0714,0.8835,0.0,0.0,1.2143,0.8601,-0.0714,0.2575,-0.7143,1.4357
Sadness,Joy,1,-1.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,-2.0,0.0
Shame,Anger,3,0.0,0.8165,-0.6667,0.4714,2.0,0.8165,0.0,0.0,-1.3333,0.9428,-2.6667,0.4714,0.0,0.0
Shame,Disgust,1,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,2.0,0.0
Shame,Fear,14,-0.2857,0.9583,0.2143,1.0127,1.0,0.7559,0.0,0.0,-0.6429,1.231,-0.7143,1.0302,1.3571,1.4932
Shame,Guilt,70,0.2857,0.9433,-0.2286,0.9129,0.8,0.9196,-0.0286,0.2914,-0.7857,1.0127,-1.7143,1.1357,0.3143,0.8871
Shame,Joy,1,1.0,0.0,-1.0,0.0,1.0,0.0,2.0,0.0,-3.0,0.0,-1.0,0.0,0.0,0.0
Shame,Sadness,28,0.1786,0.8886,-0.5,0.6268,0.3929,1.1129,0.0,0.0,-0.9643,1.085,-0.8929,1.0467,0.6786,1.3901
