gold_emotion,pred_emotion,n,Attention_mean,Attention_std,Certainty_mean,Certainty_std,Effort_mean,Effort_std,Pleasant_mean,Pleasant_std,Responsibility_mean,Responsibility_std,Control_mean,Control_std,Circumstance_mean,Circumstance_std
Anger,Fear,31,-0.2258,0.9055,-0.6129,1.2096,0.5484,0.7111,-0.0323,0.1767,1.0645,0.8399,0.0645,0.5643,0.8065,1.2552
Anger,Guilt,18,-0.3333,0.8819,-0.3889,0.8259,1.1667,0.9574,0.0,0.0,1.0,1.1547,-0.1667,0.6009,0.2778,0.7307
Anger,Sadness,63,-0.3175,1.0664,-0.4921,0.8521,0.619,1.0754,-0.0317,0.1753,1.0159,0.8636,0.0635,0.4671,0.9683,1.208
Anger,Shame,1,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
Disgust,Anger,12,0.5833,1.0375,-0.5,0.6455,1.25,0.7217,0.0,0.0,1.0833,1.0375,0.0833,0.7592,0.3333,0.9428
Disgust,Fear,33,0.9394,1.0427,-0.9697,1.0294,0.9394,0.9515,0.0,0.0,0.8182,0.903,-0.1212,0.769,0.6061,1.4129
Disgust,Guilt,10,0.2,1.077,-0.9,0.9434,0.7,0.9,-0.1,0.3,1.3,1.4866,-0.5,1.118,-0.5,1.0247
Disgust,Joy,2,-1.0,0.0,-1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0
Disgust,Sadness,56,0.4107,0.8404,-0.7679,0.779,0.9643,0.8857,0.0,0.0,0.8214,0.8886,-0.1071,0.6729,0.4107,1.2646
Disgust,Shame,6,1.0,0.5774,-0.5,0.7638,0.5,1.118,0.0,0.0,1.1667,0.8975,0.0,0.5774,0.6667,0.4714
Fear,Guilt,8,0.0,0.7071,0.875,0.7806,0.0,0.7071,0.0,0.0,1.125,1.4524,-0.125,0.927,-0.75,1.0897
Fear,Joy,5,-0.2,0.7483,0.2,0.4,1.0,0.0,-0.4,1.2,-0.4,0.4899,0.2,0.4,-0.6,1.0198
Fear,Sadness,5,-1.2,0.7483,0.8,1.6,-0.8,0.4,-0.2,0.4,1.4,0.8,-0.4,0.4899,0.2,0.9798
Fear,Shame,1,2.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
Guilt,Fear,5,0.6,1.0198,-0.6,1.0198,1.2,0.7483,0.0,0.0,0.0,1.4142,-0.8,1.1662,-0.4,0.4899
Guilt,Joy,4,0.75,0.8292,0.0,0.0,0.5,0.5,1.25,1.0897,-0.25,0.433,-0.75,1.479,1.25,1.0897
Guilt,Sadness,14,-0.1429,1.3015,-0.4286,0.4949,0.7857,0.8601,0.0714,0.2575,0.0,0.8452,-0.7143,1.0973,0.3571,1.342
Guilt,Shame,5,0.8,0.7483,-0.6,0.4899,1.6,0.4899,-0.2,0.4,0.0,0.6325,-1.6,0.8,0.6,0.4899
Joy,Fear,2,-1.0,1.0,-1.0,1.0,2.0,1.0,-2.5,0.5,0.0,0.0,0.0,0.0,-0.5,0.5
Joy,Sadness,3,-1.3333,0.9428,-1.0,0.0,1.3333,1.2472,-1.3333,1.2472,-0.6667,0.9428,-0.3333,0.4714,0.0,0.8165
Sadness,Anger,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-0.5,0.5,1.0,1.0
Sadness,Fear,15,-0.1333,1.2037,-1.1333,1.147,1.0667,0.8537,0.0,0.0,1.0667,1.0625,0.1333,0.4989,0.3333,1.075
Sadness,Guilt,16,-0.4375,0.8638,-0.4375,0.8638,0.0625,1.0879,-0.0625,0.2421,2.0,0.7071,0.0625,0.2421,-0.25,1.0897
Sadness,Joy,2,-1.0,1.0,-0.5,0.5,-1.5,0.5,3.0,0.0,0.5,0.5,1.0,1.0,-2.5,0.5
Shame,Anger,2,1.0,0.0,-0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,0.5,0.5
Shame,Disgust,1,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shame,Fear,16,0.0,1.0,-0.5625,0.998,0.9375,0.9662,-0.125,0.4841,0.1875,1.3332,-0.4375,0.7043,-0.25,1.0308
Shame,Guilt,81,0.7654,0.9593,-0.1481,0.8623,1.0617,0.8937,0.0,0.0,0.0,0.7698,-1.1605,1.2418,0.3951,0.9517
Shame,Joy,2,1.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0
Shame,Sadness,21,0.7619,0.6835,-0.5238,0.7315,0.7143,1.0754,-0.0476,0.213,0.0952,0.7499,-0.2857,0.4518,0.2857,1.0302
