Source,Emotion,Unpleasant,Resp./Self,Uncertainty,Attention,Effort,Circumstance
Theory,Happiness,-1.4600,0.0900,-0.4600,0.1500,-0.3300,-0.2100
Theory,Sadness,0.8700,-0.3600,0.0000,-0.2100,-0.1400,1.1500
Theory,Anger,0.8500,-0.9400,-0.2900,0.1200,0.5300,-0.9600
Theory,Fear,0.4400,-0.1700,0.7300,0.0300,0.6300,0.5900
Theory,Disgust,0.3800,-0.5000,-0.3900,-0.9600,0.0600,-0.1900
Theory,Shame,0.7300,1.3100,0.2100,-0.1100,0.0700,-0.0700
Theory,Guilt,0.6000,1.3100,-0.1500,-0.3600,0.0000,-0.2900
Corpus_z,Happiness,-2.4487,0.1912,-0.8488,1.3909,-1.7263,-0.2538
Corpus_z,Sadness,0.4140,-1.0445,0.0971,0.4203,0.7754,2.0039
Corpus_z,Anger,0.4350,-1.0495,-0.2379,0.6326,0.2617,-0.9299
Corpus_z,Fear,0.3580,-0.2363,2.3337,0.8349,1.7136,0.9496
Corpus_z,Disgust,0.4140,-0.6943,-0.7502,-0.8233,-0.3414,-0.3225
Corpus_z,Shame,0.4350,1.1022,-0.1788,-1.4502,-0.1627,-0.7580
Corpus_z,Guilt,0.3930,1.7312,-0.4152,-1.0053,-0.5201,-0.6892
